Company,Position,Salary
I-MAB,"Clinical Trial Manager
1 Salaries submitted",149
I-MAB,"Clinical Project Manager
1 Salaries submitted",181
I-MAB,"Biological Technician
1 Salaries submitted",59
I-MAB,"Sr. Clinical Research Associate
1 Salaries submitted",149
I-MAB,"Director
1 Salaries submitted",316
"ImmunoGen, Inc.","Senior Research Associate
11 Salaries submitted",129
"ImmunoGen, Inc.","Research Associate II
9 Salaries submitted",95
"ImmunoGen, Inc.","Associate Director
8 Salaries submitted",258
"ImmunoGen, Inc.","Analytical Associate II
7 Salaries submitted",82
"ImmunoGen, Inc.","Research Associate
6 Salaries submitted",93
"ImmunoGen, Inc.","Research Associate III
5 Salaries submitted",115
"ImmunoGen, Inc.","Development Associate
4 Salaries submitted",103
"ImmunoGen, Inc.","Senior Scientist
3 Salaries submitted",192
"ImmunoGen, Inc.","Director
3 Salaries submitted",312
"ImmunoGen, Inc.","QC Analyst
3 Salaries submitted",86
"ImmunoGen, Inc.","Research Scientist
3 Salaries submitted",181
"ImmunoGen, Inc.","Principal Scientist
3 Salaries submitted",223
"ImmunoGen, Inc.","Manager
3 Salaries submitted",207
"ImmunoGen, Inc.","Executive Director
2 Salaries submitted",439
"ImmunoGen, Inc.","Development Scientist
2 Salaries submitted",131
"ImmunoGen, Inc.","Scientist II
2 Salaries submitted",137
"ImmunoGen, Inc.","Animal Care Technician
1 Salaries submitted",54
"ImmunoGen, Inc.","Scientist I (Biochemist)
1 Salaries submitted",138
"ImmunoGen, Inc.","Contractor
1 Salaries submitted",95
"ImmunoGen, Inc.","Clinical Trial Manager
1 Salaries submitted",163
Immatics N.V.,"Research Associate
14 Salaries submitted",90
Immatics N.V.,"Research Assistant
3 Salaries submitted",66
Immatics N.V.,"Program Manager
2 Salaries submitted",160
Immatics N.V.,"Research Associate II
2 Salaries submitted",82
Immatics N.V.,"Research Associate 1
2 Salaries submitted",65
Immatics N.V.,"Sr. Research Associate
2 Salaries submitted",108
Immatics N.V.,"Senior Research Associate
2 Salaries submitted",104
Immatics N.V.,"Clinical Operations Lead
1 Salaries submitted",141
Immatics N.V.,"Research Scientist
1 Salaries submitted",137
Immatics N.V.,"Researcher
1 Salaries submitted",92
Immatics N.V.,"Manufacturing Associate I
1 Salaries submitted",60
Immatics N.V.,"Senior Scientist
1 Salaries submitted",164
Immatics N.V.,"Research Associate I
1 Salaries submitted",63
Immatics N.V.,"Administrative
1 Salaries submitted",73
Immatics N.V.,"Manufacturing Associate
1 Salaries submitted",51
Immatics N.V.,"Associate Manager
1 Salaries submitted",137
Immatics N.V.,"Sr. Director Facilities, Engineering, and Technical Operations
1 Salaries submitted",186
Immatics N.V.,"Senior Director, Clinical Operations
1 Salaries submitted",260
Immatics N.V.,"Global Clinical Operations Lead
1 Salaries submitted",184
"Immunic, Inc.","Research Associate
1 Salaries submitted",83
"Immunovant, Inc.","Director
3 Salaries submitted",314
"Immunovant, Inc.","Associate Director
2 Salaries submitted",265
"Immunovant, Inc.","Product Manager
1 Salaries submitted",174
"Immunovant, Inc.","Sr. Director
1 Salaries submitted",399
"Immunovant, Inc.","Senior Regulatory Manager
1 Salaries submitted",169
"Immunovant, Inc.","Manager
1 Salaries submitted",180
"Immunovant, Inc.","TMF Manager
1 Salaries submitted",144
"Immunovant, Inc.","VP Finance
1 Salaries submitted",455
"Immunovant, Inc.","QA Director
1 Salaries submitted",284
"Immunovant, Inc.","Intern
1 Salaries submitted",76
"Immunovant, Inc.","Vice President, Clinical Operations
1 Salaries submitted",293
"Inhibrx, Inc.","Associate Scientist
5 Salaries submitted",84
"Inhibrx, Inc.","Senior Research Associate
3 Salaries submitted",95
"Inhibrx, Inc.","Research Associate
3 Salaries submitted",83
"Inhibrx, Inc.","Senior Clinical Trial Assistant
2 Salaries submitted",94
"Inhibrx, Inc.","Research Associate II
2 Salaries submitted",81
"Inhibrx, Inc.","Staff Accountant
1 Salaries submitted",73
"Inhibrx, Inc.","Associate Scientist I
1 Salaries submitted",79
"Inhibrx, Inc.","Associate Director
1 Salaries submitted",181
"Inhibrx, Inc.","Senior CRA 1
1 Salaries submitted",111
"Inhibrx, Inc.","Senior CRA I
1 Salaries submitted",124
"Inhibrx, Inc.","Sr Research Associate
1 Salaries submitted",101
Incyte Corporation,"Research Scientist
19 Salaries submitted",162
Incyte Corporation,"Research Investigator
14 Salaries submitted",157
Incyte Corporation,"Director
10 Salaries submitted",311
Incyte Corporation,"Senior Research Scientist
8 Salaries submitted",191
Incyte Corporation,"Research Investigator, Chemistry
8 Salaries submitted",122
Incyte Corporation,"Research Investigator I - Chemistry
7 Salaries submitted",108
Incyte Corporation,"Senior Biostatistician
7 Salaries submitted",171
Incyte Corporation,"Principal Biostatistician
6 Salaries submitted",175
Incyte Corporation,"Principal Investigator
5 Salaries submitted",226
Incyte Corporation,"Lead Biostatistical Programmer I
4 Salaries submitted",145
Incyte Corporation,"Associate Director
4 Salaries submitted",257
Incyte Corporation,"Senior Research Investigator
4 Salaries submitted",174
Incyte Corporation,"Staff Scientist
3 Salaries submitted",167
Incyte Corporation,"Senior Manager
3 Salaries submitted",228
Incyte Corporation,"Intern
3 Salaries submitted",79
Incyte Corporation,"Senior Drug Safety Associate
3 Salaries submitted",147
Incyte Corporation,"Senior Research Investigator, Chemistry
3 Salaries submitted",151
Incyte Corporation,"Research Expert
3 Salaries submitted",111
Incyte Corporation,"Medical Science Liaison
2 Salaries submitted",309
Incyte Corporation,"Sr. research investigator
2 Salaries submitted",178
"Inovio Pharmaceuticals, Inc.","Research Associate
10 Salaries submitted",96
"Inovio Pharmaceuticals, Inc.","Associate Scientist
7 Salaries submitted",104
"Inovio Pharmaceuticals, Inc.","Director
4 Salaries submitted",374
"Inovio Pharmaceuticals, Inc.","Clinical Scientist
4 Salaries submitted",197
"Inovio Pharmaceuticals, Inc.","Research Associate II
3 Salaries submitted",107
"Inovio Pharmaceuticals, Inc.","Research Associate I
3 Salaries submitted",87
"Inovio Pharmaceuticals, Inc.","Senior Scientist
3 Salaries submitted",205
"Inovio Pharmaceuticals, Inc.","Research Scientist
3 Salaries submitted",164
"Inovio Pharmaceuticals, Inc.","Associate Director
3 Salaries submitted",284
"Inovio Pharmaceuticals, Inc.","Scientist
2 Salaries submitted",160
"Inovio Pharmaceuticals, Inc.","Software Engineer
2 Salaries submitted",192
"Inovio Pharmaceuticals, Inc.","Engineering Technician II
1 Salaries submitted",81
"Inovio Pharmaceuticals, Inc.","Senior Planner/Buyer
1 Salaries submitted",168
"Inovio Pharmaceuticals, Inc.","Manufacturing Electrical Engineer II
1 Salaries submitted",149
"Inovio Pharmaceuticals, Inc.","Director of Investor Relations
1 Salaries submitted",503
"Inovio Pharmaceuticals, Inc.","Associate Director, Clinical Operations
1 Salaries submitted",294
"Inovio Pharmaceuticals, Inc.","Senior Director Communications
1 Salaries submitted",391
"Inovio Pharmaceuticals, Inc.","Associate Manager
1 Salaries submitted",200
"Inovio Pharmaceuticals, Inc.","Clinical Associate
1 Salaries submitted",163
"Inovio Pharmaceuticals, Inc.","IT Service Desk III
1 Salaries submitted",93
Insmed Incorporated,"Director
6 Salaries submitted",337
Insmed Incorporated,"Intern - Hourly
5 Salaries submitted",119
Insmed Incorporated,"Scientist
4 Salaries submitted",162
Insmed Incorporated,"Therapeutic Specialist
4 Salaries submitted",233
Insmed Incorporated,"Senior Research Associate
4 Salaries submitted",131
Insmed Incorporated,"Associate Director
4 Salaries submitted",280
Insmed Incorporated,"Senior Scientist
3 Salaries submitted",188
Insmed Incorporated,"Senior Associate
3 Salaries submitted",144
Insmed Incorporated,"Specialist
3 Salaries submitted",133
Insmed Incorporated,"Project Manager
2 Salaries submitted",167
Insmed Incorporated,"Clinical Trials Administrator
2 Salaries submitted",101
Insmed Incorporated,"Research Associate
2 Salaries submitted",113
Insmed Incorporated,"Sr Director, Program Management
2 Salaries submitted",331
Insmed Incorporated,"Director of Financial Planning and Analysis
2 Salaries submitted",289
Insmed Incorporated,"Analytics Manager
2 Salaries submitted",192
Insmed Incorporated,"Intellectual Property Paralegal
2 Salaries submitted",157
Insmed Incorporated,"Senior Team Lead
2 Salaries submitted",162
Insmed Incorporated,"Management
2 Salaries submitted",254
Insmed Incorporated,"Sr. Director
1 Salaries submitted",377
Insmed Incorporated,"Director of Analytics
1 Salaries submitted",315
"Ionis Pharmaceuticals, Inc.","Research Associate
21 Salaries submitted",108
"Ionis Pharmaceuticals, Inc.","Senior Research Associate
20 Salaries submitted",134
"Ionis Pharmaceuticals, Inc.","Assistant Director
19 Salaries submitted",201
"Ionis Pharmaceuticals, Inc.","Senior Scientist
17 Salaries submitted",194
"Ionis Pharmaceuticals, Inc.","Scientist
14 Salaries submitted",174
"Ionis Pharmaceuticals, Inc.","Director
13 Salaries submitted",327
"Ionis Pharmaceuticals, Inc.","Associate Director
10 Salaries submitted",258
"Ionis Pharmaceuticals, Inc.","Postdoctoral Fellow
9 Salaries submitted",99
"Ionis Pharmaceuticals, Inc.","Executive Director
9 Salaries submitted",468
"Ionis Pharmaceuticals, Inc.","Research Scientist
6 Salaries submitted",180
"Ionis Pharmaceuticals, Inc.","Intern
4 Salaries submitted",92
"Ionis Pharmaceuticals, Inc.","Post Doctoral Fellow
3 Salaries submitted",119
"Ionis Pharmaceuticals, Inc.","Vice President
3 Salaries submitted",477
"Ionis Pharmaceuticals, Inc.","Executive Assistant
3 Salaries submitted",125
"Ionis Pharmaceuticals, Inc.","Intern - Hourly
3 Salaries submitted",122
"Ionis Pharmaceuticals, Inc.","Assistant Director, Core Antisense Research
2 Salaries submitted",265
"Ionis Pharmaceuticals, Inc.","Senior Scientist, Computational Biology
2 Salaries submitted",192
"Ionis Pharmaceuticals, Inc.","Senior Accountant
2 Salaries submitted",146
"Ionis Pharmaceuticals, Inc.","Executive Director Supply Chain
2 Salaries submitted",371
"Ionis Pharmaceuticals, Inc.","Contractor
2 Salaries submitted",103
"Iovance Biotherapeutics, Inc.","Director
6 Salaries submitted",347
"Iovance Biotherapeutics, Inc.","Vice President
5 Salaries submitted",615
"Iovance Biotherapeutics, Inc.","Associate Director
5 Salaries submitted",287
"Iovance Biotherapeutics, Inc.","Aseptic Manufacturing Technician
5 Salaries submitted",77
"Iovance Biotherapeutics, Inc.","Aseptic Technician
5 Salaries submitted",60
"Iovance Biotherapeutics, Inc.","Quality Operations Specialist
3 Salaries submitted",87
"Iovance Biotherapeutics, Inc.","Manager
3 Salaries submitted",201
"Iovance Biotherapeutics, Inc.","Process Development Associate
3 Salaries submitted",90
"Iovance Biotherapeutics, Inc.","Manufacturing Technician
3 Salaries submitted",66
"Iovance Biotherapeutics, Inc.","Sr. Director
3 Salaries submitted",404
"Iovance Biotherapeutics, Inc.","Research Associate
2 Salaries submitted",95
"Iovance Biotherapeutics, Inc.","Clinical Trial Manager
2 Salaries submitted",169
"Iovance Biotherapeutics, Inc.","Associate Scientist
2 Salaries submitted",114
"Iovance Biotherapeutics, Inc.","Business IT Analyst
2 Salaries submitted",130
"Iovance Biotherapeutics, Inc.","Senior Scientist
2 Salaries submitted",192
"Iovance Biotherapeutics, Inc.","Lead Aseptic Manufacturing Technician
2 Salaries submitted",71
"Iovance Biotherapeutics, Inc.","Quality Assurance
2 Salaries submitted",91
"Iovance Biotherapeutics, Inc.","Intern
2 Salaries submitted",94
"Iovance Biotherapeutics, Inc.","Quality Control Analyst II
2 Salaries submitted",92
"Iovance Biotherapeutics, Inc.","Manufacturing Technician I
2 Salaries submitted",67
"Ironwood Pharmaceuticals, Inc.","Clinical Sales Specialist
18 Salaries submitted",239
"Ironwood Pharmaceuticals, Inc.","Associate Director
8 Salaries submitted",270
"Ironwood Pharmaceuticals, Inc.","Director
7 Salaries submitted",325
"Ironwood Pharmaceuticals, Inc.","Manager
6 Salaries submitted",208
"Ironwood Pharmaceuticals, Inc.","Senior Associate Scientist
5 Salaries submitted",134
"Ironwood Pharmaceuticals, Inc.","Scientist
4 Salaries submitted",156
"Ironwood Pharmaceuticals, Inc.","Regional Sales Manager
3 Salaries submitted",337
"Ironwood Pharmaceuticals, Inc.","Senior Manager
3 Salaries submitted",244
"Ironwood Pharmaceuticals, Inc.","Pharmaceuticals Sales Representative
3 Salaries submitted",243
"Ironwood Pharmaceuticals, Inc.","Senior Clinical Sales Specialist
3 Salaries submitted",260
"Ironwood Pharmaceuticals, Inc.","Sales Representative
3 Salaries submitted",254
"Ironwood Pharmaceuticals, Inc.","Associate
2 Salaries submitted",135
"Ironwood Pharmaceuticals, Inc.","Regulatory Affairs Manager
2 Salaries submitted",189
"Ironwood Pharmaceuticals, Inc.","Strategic Planning Associate
2 Salaries submitted",152
"Ironwood Pharmaceuticals, Inc.","Intern - Hourly
2 Salaries submitted",86
"Ironwood Pharmaceuticals, Inc.","Staff Accountant
2 Salaries submitted",81
"Ironwood Pharmaceuticals, Inc.","Bioanalytical Chemist
2 Salaries submitted",91
"Ironwood Pharmaceuticals, Inc.","Senior Scientist
2 Salaries submitted",185
"Ironwood Pharmaceuticals, Inc.","Senior Analyst
2 Salaries submitted",136
"Ironwood Pharmaceuticals, Inc.","Scientist II
2 Salaries submitted",138
"KalVista Pharmaceuticals, Inc.","Communication Specialist
1 Salaries submitted",84
"KalVista Pharmaceuticals, Inc.","Investor Relations Associate
1 Salaries submitted",93
"KalVista Pharmaceuticals, Inc.","Sr Medical Director
1 Salaries submitted",335
"KalVista Pharmaceuticals, Inc.","Research Associate
1 Salaries submitted",89
"Kiniksa Pharmaceuticals, Ltd.","Director
10 Salaries submitted",307
"Kiniksa Pharmaceuticals, Ltd.","Clinical Trial Associate
4 Salaries submitted",99
"Kiniksa Pharmaceuticals, Ltd.","Lab Technician
2 Salaries submitted",58
"Kiniksa Pharmaceuticals, Ltd.","Vice President, Market Access
1 Salaries submitted",555
"Kiniksa Pharmaceuticals, Ltd.","Clinical Trial Manager
1 Salaries submitted",164
"Kiniksa Pharmaceuticals, Ltd.","Lawyer
1 Salaries submitted",257
"Kiniksa Pharmaceuticals, Ltd.","Vice President Quality
1 Salaries submitted",468
"Kiniksa Pharmaceuticals, Ltd.","Sr Manager, Marketing
1 Salaries submitted",238
"Kiniksa Pharmaceuticals, Ltd.","QA Senior Specialist
1 Salaries submitted",138
"Kiniksa Pharmaceuticals, Ltd.","Sr. Clinical Trial Associate
1 Salaries submitted",151
"Kiniksa Pharmaceuticals, Ltd.","Maintenance Technician
1 Salaries submitted",64
"Kiniksa Pharmaceuticals, Ltd.","Sr. Quality Assurance Specialist
1 Salaries submitted",117
"Kiniksa Pharmaceuticals, Ltd.","Associate Director
1 Salaries submitted",261
"Kiniksa Pharmaceuticals, Ltd.","Director, Marketing
1 Salaries submitted",404
"Kiniksa Pharmaceuticals, Ltd.","Sr Manager, Analytics
1 Salaries submitted",238
"Kiniksa Pharmaceuticals, Ltd.","Project Manager
1 Salaries submitted",163
"Kiniksa Pharmaceuticals, Ltd.","Senior Manager, Quality Assurance
1 Salaries submitted",224
"Kiniksa Pharmaceuticals, Ltd.","QC/AD Analyst
1 Salaries submitted",98
"Kiniksa Pharmaceuticals, Ltd.","Sales Representative
1 Salaries submitted",215
"Kiniksa Pharmaceuticals, Ltd.","Senior Project Manager
1 Salaries submitted",191
Kodiak Sciences Inc,"Scientist II
4 Salaries submitted",120
Kodiak Sciences Inc,"Manager
2 Salaries submitted",153
Kodiak Sciences Inc,"Firefighter
1 Salaries submitted",74
Kodiak Sciences Inc,"Executive Assistant
1 Salaries submitted",91
Kodiak Sciences Inc,"Senior Research Associate
1 Salaries submitted",113
Kodiak Sciences Inc,"Marketing
1 Salaries submitted",144
Kodiak Sciences Inc,"Director
1 Salaries submitted",278
Kodiak Sciences Inc,"Research Scientist
1 Salaries submitted",149
Kodiak Sciences Inc,"Scientist
1 Salaries submitted",141
Kodiak Sciences Inc,"Clinical Trial Associate
1 Salaries submitted",98
Kodiak Sciences Inc,"Quality Specialist
1 Salaries submitted",89
Kodiak Sciences Inc,"Senior Engineer
1 Salaries submitted",147
Karyopharm Therapeutics Inc.,"Director
8 Salaries submitted",325
Karyopharm Therapeutics Inc.,"Clinical Data Manager
6 Salaries submitted",146
Karyopharm Therapeutics Inc.,"Associate Director
6 Salaries submitted",273
Karyopharm Therapeutics Inc.,"Intern
5 Salaries submitted",89
Karyopharm Therapeutics Inc.,"Clinical Research Scientist
4 Salaries submitted",191
Karyopharm Therapeutics Inc.,"Senior Associate Regulatory Operations
4 Salaries submitted",196
Karyopharm Therapeutics Inc.,"Clinical Trial Manager
4 Salaries submitted",167
Karyopharm Therapeutics Inc.,"Clinical Trial Associate
4 Salaries submitted",99
Karyopharm Therapeutics Inc.,"Data Scientist
3 Salaries submitted",181
Karyopharm Therapeutics Inc.,"Executive Director
3 Salaries submitted",457
Karyopharm Therapeutics Inc.,"Pharmacovigilance Scientist
3 Salaries submitted",169
Karyopharm Therapeutics Inc.,"Senior CPM
2 Salaries submitted",255
Karyopharm Therapeutics Inc.,"PV Specialist
2 Salaries submitted",117
Karyopharm Therapeutics Inc.,"Quality Assurance
2 Salaries submitted",87
Karyopharm Therapeutics Inc.,"Project Manager
2 Salaries submitted",169
Karyopharm Therapeutics Inc.,"Vendor Manager
2 Salaries submitted",168
Karyopharm Therapeutics Inc.,"Vice President
2 Salaries submitted",471
Karyopharm Therapeutics Inc.,"Biostatistician
2 Salaries submitted",160
Karyopharm Therapeutics Inc.,"Associate Medical Director
2 Salaries submitted",391
Karyopharm Therapeutics Inc.,"Medical Science Liaison (MSL)
2 Salaries submitted",305
"Kiromic BioPharma, Inc.","Scientist
2 Salaries submitted",111
"Kiromic BioPharma, Inc.","Cell Therapy Technician
2 Salaries submitted",48
"Kiromic BioPharma, Inc.","Research Assistant
2 Salaries submitted",64
"Kiromic BioPharma, Inc.","Supply Chain
1 Salaries submitted",84
"Kiromic BioPharma, Inc.","Lab Tech II
1 Salaries submitted",51
"Kiromic BioPharma, Inc.","Scientist I
1 Salaries submitted",92
"Kiromic BioPharma, Inc.","Front Desk Receptionist
1 Salaries submitted",42
"Kiromic BioPharma, Inc.","Laboratory Technician II
1 Salaries submitted",53
"Kiromic BioPharma, Inc.","CSO/CISO
1 Salaries submitted",306
"Kiromic BioPharma, Inc.","Technician
1 Salaries submitted",57
"Kiromic BioPharma, Inc.","Virus Manufacturing Specialist I
1 Salaries submitted",77
"Kiromic BioPharma, Inc.","Dental Assistant
1 Salaries submitted",50
"Kiromic BioPharma, Inc.","Sr. Director, Engineering
1 Salaries submitted",248
"Kiromic BioPharma, Inc.","Department Head
1 Salaries submitted",98
"Keros Therapeutics, Inc.","Research Associate II
2 Salaries submitted",87
"Keros Therapeutics, Inc.","Research Associate
2 Salaries submitted",87
"Keros Therapeutics, Inc.","Senior Director Clinical Operations
1 Salaries submitted",332
"Keros Therapeutics, Inc.","AD Clinical Supply
1 Salaries submitted",158
"Keros Therapeutics, Inc.","Principal Engineer
1 Salaries submitted",207
"Keros Therapeutics, Inc.","Scientist
1 Salaries submitted",140
"Keros Therapeutics, Inc.","Associate Director, Clinical Data Management
1 Salaries submitted",183
"Keros Therapeutics, Inc.","In Vitro Research Assistant
1 Salaries submitted",75
"Keros Therapeutics, Inc.","Senior Research Associate
1 Salaries submitted",116
"Keros Therapeutics, Inc.","Manager
1 Salaries submitted",154
"Keros Therapeutics, Inc.","Co-Op
1 Salaries submitted",98
"Keros Therapeutics, Inc.","Process Development Scientist
1 Salaries submitted",113
"Karuna Therapeutics, Inc.","Associate Director
2 Salaries submitted",262
"Karuna Therapeutics, Inc.","Coordinator
2 Salaries submitted",97
"Karuna Therapeutics, Inc.","Associate Director, Formulation Development
2 Salaries submitted",251
"Karuna Therapeutics, Inc.","Manager, Quality Systems
1 Salaries submitted",190
"Karuna Therapeutics, Inc.","Executive Assistant
1 Salaries submitted",112
"Karuna Therapeutics, Inc.","Senior Manager
1 Salaries submitted",253
"Karuna Therapeutics, Inc.","Senior Clinical Project Manager
1 Salaries submitted",188
"Karuna Therapeutics, Inc.","Operations Coordinator
1 Salaries submitted",81
"Karuna Therapeutics, Inc.","Sr Clinical Trial Associate
1 Salaries submitted",154
"Krystal Biotech, Inc.","Sr. Research Associate
2 Salaries submitted",100
"Krystal Biotech, Inc.","Research Associate
2 Salaries submitted",74
"Krystal Biotech, Inc.","Clinical Research Associate
2 Salaries submitted",97
"Krystal Biotech, Inc.","Senior Scientist
2 Salaries submitted",149
"Krystal Biotech, Inc.","Product Manager
1 Salaries submitted",153
"Krystal Biotech, Inc.","CRA I
1 Salaries submitted",103
"Krystal Biotech, Inc.","Warehouse Associate
1 Salaries submitted",43
"Krystal Biotech, Inc.","Technical Services Engineer
1 Salaries submitted",109
"Krystal Biotech, Inc.","Senior CMC Program Manager
1 Salaries submitted",161
"Krystal Biotech, Inc.","Human Resources Generalist
1 Salaries submitted",83
"Krystal Biotech, Inc.","Anonymous
1 Salaries submitted",108
"Krystal Biotech, Inc.","Assistant Process Development Engineer
1 Salaries submitted",103
"Krystal Biotech, Inc.","Quality Control Analyst
1 Salaries submitted",74
"Krystal Biotech, Inc.","Associate
1 Salaries submitted",81
"Krystal Biotech, Inc.","Process Engineer
1 Salaries submitted",104
"Krystal Biotech, Inc.","Quality Control Analyst I
1 Salaries submitted",63
"Krystal Biotech, Inc.","QC Analyst
1 Salaries submitted",79
"Krystal Biotech, Inc.","Bioprocess Engineer
1 Salaries submitted",103
"Krystal Biotech, Inc.","Engineer
1 Salaries submitted",115
"Krystal Biotech, Inc.","Senior Process Development Engineer
1 Salaries submitted",126
"Kura Oncology, Inc.","Director
3 Salaries submitted",273
"Kura Oncology, Inc.","Senior Manager
1 Salaries submitted",204
"Kura Oncology, Inc.","Director, Project Management
1 Salaries submitted",215
"Kura Oncology, Inc.","Senior Accountant
1 Salaries submitted",131
"Kura Oncology, Inc.","Manager, Clinical Data Management
1 Salaries submitted",155
"Kura Oncology, Inc.","Senior Clinical Trial Leader
1 Salaries submitted",147
"Kura Oncology, Inc.","Clinical Trial Associate
1 Salaries submitted",102
"Kymera Therapeutics, Inc.","Director
2 Salaries submitted",311
"Kymera Therapeutics, Inc.","Associate Director of Accounting
1 Salaries submitted",209
"Kymera Therapeutics, Inc.","Recruiting and Candidate Experience Specialist
1 Salaries submitted",90
"Kymera Therapeutics, Inc.","Associate Director
1 Salaries submitted",231
"Kymera Therapeutics, Inc.","Lab Manager
1 Salaries submitted",121
"Kymera Therapeutics, Inc.","Director of Operations
1 Salaries submitted",329
"Kymera Therapeutics, Inc.","Executive Vice President, Business Development
1 Salaries submitted",605
"Kymera Therapeutics, Inc.","Senior Scientist
1 Salaries submitted",188
"Kymera Therapeutics, Inc.","Scientist
1 Salaries submitted",144
"Kymera Therapeutics, Inc.","Principal Scientist
1 Salaries submitted",242
"Kymera Therapeutics, Inc.","Executive Business Partner
1 Salaries submitted",199
"Kezar Life Sciences, Inc.","Patient Advocacy Coordinator
2 Salaries submitted",60
"Kezar Life Sciences, Inc.","Associate Director, Clinical Operations
1 Salaries submitted",236
"Kezar Life Sciences, Inc.","Clinical Research Associate
1 Salaries submitted",105
"Kezar Life Sciences, Inc.","Project Manager
1 Salaries submitted",143
"Kezar Life Sciences, Inc.","Intern
1 Salaries submitted",74
"Kezar Life Sciences, Inc.","Senior Manager
1 Salaries submitted",202
Legend Biotech Corporation,"Operations Associate
21 Salaries submitted",66
Legend Biotech Corporation,"CAR-T Operator
9 Salaries submitted",53
Legend Biotech Corporation,"Process Expert
5 Salaries submitted",104
Legend Biotech Corporation,"QC Microbiologist
3 Salaries submitted",79
Legend Biotech Corporation,"QC Analyst
3 Salaries submitted",81
Legend Biotech Corporation,"Director
3 Salaries submitted",247
Legend Biotech Corporation,"Scientist II
3 Salaries submitted",119
Legend Biotech Corporation,"Senior Scientist
2 Salaries submitted",155
Legend Biotech Corporation,"QC Analyst I
2 Salaries submitted",69
Legend Biotech Corporation,"Senior Operations Associate
2 Salaries submitted",78
Legend Biotech Corporation,"Senior Manager, Forecast Analytics
2 Salaries submitted",211
Legend Biotech Corporation,"Car-T Operations Associate
2 Salaries submitted",66
Legend Biotech Corporation,"Associate Director
2 Salaries submitted",213
Legend Biotech Corporation,"CAR-T QC Analyst
2 Salaries submitted",77
Legend Biotech Corporation,"CAR-T Cell Processing Specialist
2 Salaries submitted",76
Legend Biotech Corporation,"Senior Analyst
2 Salaries submitted",115
Legend Biotech Corporation,"Maintenance Specialist
2 Salaries submitted",82
Legend Biotech Corporation,"Operation Associate
2 Salaries submitted",63
Legend Biotech Corporation,"QC Investigation Support Specialist
1 Salaries submitted",99
Legend Biotech Corporation,"Validation Lead
1 Salaries submitted",131
"aTyr Pharma, Inc.","Senior Research Associate
5 Salaries submitted",148
"aTyr Pharma, Inc.","Research Associate
4 Salaries submitted",105
"aTyr Pharma, Inc.","Research Associate II
3 Salaries submitted",120
"aTyr Pharma, Inc.","Scientist
3 Salaries submitted",195
"aTyr Pharma, Inc.","Sr. Research Associate
2 Salaries submitted",146
"aTyr Pharma, Inc.","Associate Director
2 Salaries submitted",290
"aTyr Pharma, Inc.","Executive Assistant
2 Salaries submitted",120
"aTyr Pharma, Inc.","Scientist I, Biochemistry
2 Salaries submitted",185
"aTyr Pharma, Inc.","Scientist I
2 Salaries submitted",156
"aTyr Pharma, Inc.","Senior Research Associate II
1 Salaries submitted",148
"aTyr Pharma, Inc.","Research
1 Salaries submitted",190
"aTyr Pharma, Inc.","Principal Scientist
1 Salaries submitted",250
"aTyr Pharma, Inc.","Associate Scientist
1 Salaries submitted",139
"aTyr Pharma, Inc.","Director
1 Salaries submitted",367
"aTyr Pharma, Inc.","Scientist 2
1 Salaries submitted",157
"aTyr Pharma, Inc.","Manager, Clinical Supply Chain
1 Salaries submitted",232
"aTyr Pharma, Inc.","Scientist II
1 Salaries submitted",175
"aTyr Pharma, Inc.","Scientific Intern
1 Salaries submitted",137
"Leap Therapeutics, Inc.","Associate Director, Research
1 Salaries submitted",212
"Leap Therapeutics, Inc.","Medical Director
1 Salaries submitted",565
"Larimar Therapeutics, Inc.","Associate Director
1 Salaries submitted",252
"Larimar Therapeutics, Inc.","Scientist
1 Salaries submitted",172
Lantern Pharma Inc.,"Senior Research Scientist
6 Salaries submitted",151
Lantern Pharma Inc.,"Software Developer
2 Salaries submitted",124
Lantern Pharma Inc.,"Senior Data Scientist
2 Salaries submitted",205
Lantern Pharma Inc.,"Intern
1 Salaries submitted",64
Lantern Pharma Inc.,"Exectuvie Assistant
1 Salaries submitted",67
Lantern Pharma Inc.,"QA Lead
1 Salaries submitted",121
Lantern Pharma Inc.,"Product and Platform Development Manager
1 Salaries submitted",176
Lantern Pharma Inc.,"Project Manager
1 Salaries submitted",119
Lantern Pharma Inc.,"Data Science
1 Salaries submitted",135
Lantern Pharma Inc.,"Data Science and Platform Development Fellow
1 Salaries submitted",153
Lantern Pharma Inc.,"Jr. Software Developer
1 Salaries submitted",140
Lantern Pharma Inc.,"Internship
1 Salaries submitted",74
Lantern Pharma Inc.,"Senior Systems Engineer III
1 Salaries submitted",149
Lantern Pharma Inc.,"Senior Frontend Developer
1 Salaries submitted",141
Lantern Pharma Inc.,"Executive Assistant
1 Salaries submitted",78
Lantern Pharma Inc.,"Computational Biologist
1 Salaries submitted",94
Lantern Pharma Inc.,"Data Scientist
1 Salaries submitted",155
"Lexicon Pharmaceuticals, Inc.","Scientist
6 Salaries submitted",149
"Lexicon Pharmaceuticals, Inc.","Research Associate II
6 Salaries submitted",92
"Lexicon Pharmaceuticals, Inc.","Principal Research Associate
5 Salaries submitted",174
"Lexicon Pharmaceuticals, Inc.","Senior Research Associate
4 Salaries submitted",117
"Lexicon Pharmaceuticals, Inc.","Research Associate
4 Salaries submitted",96
